artist,title,release_date,genres
Roddy Ricch,Twin (feat. Lil Durk),2022-11-14,"{""melodic rap"",rap,trap}"
Lil Baby,From Now On (feat. Future),2022-10-14,"{""atl hip hop"",""atl trap"",rap,trap}"
Young Dolph,Get Away,2022-11-17,"{""gangster rap"",""hip hop"",""memphis hip hop"",""pop rap"",rap,""southern hip hop"",""tennessee hip hop"",trap}"
Future,LIKE ME (feat. 42 Dugg & Lil Baby),2022-05-02,"{""atl hip hop"",""hip hop"",rap,""southern hip hop"",trap}"
SleazyWorld Go,Sleazy Flow (feat. Lil Baby) [Remix],2022-11-11,{}
Key Glock,Jigsaw,2022-11-17,"{""hip hop"",""memphis hip hop"",rap,""southern hip hop"",""tennessee hip hop"",trap}"
NAV & Lil Baby,Never Sleep (feat. Travis Scott),2022-07-29,"{""canadian hip hop"",""canadian trap"",""hip hop"",""melodic rap"",rap,""toronto rap"",trap}"
Lil Durk,Hear It Back (feat. Moneybagg Yo),2022-06-24,"{""chicago drill"",""chicago rap"",drill,""hip hop"",rap,trap}"
Moneybagg Yo,Blow,2022-09-22,"{""hip hop"",""memphis hip hop"",rap,""southern hip hop"",""tennessee hip hop"",trap}"
Lil Durk,What Happened To Virgil (Apple Music Live),2022-03-11,"{""chicago drill"",""chicago rap"",drill,""hip hop"",rap,trap}"
LUCKI & Future,KAPITOL DENIM,2022-09-23,"{plugg,rap,""vapor trap""}"
Money Man,Similar,2022-10-28,"{""memphis hip hop"",rap,""southern hip hop"",trap}"
Lil Baby,Right On,2022-04-08,"{""atl hip hop"",""atl trap"",rap,trap}"
Gucci Mane,Rumors (feat. Lil Durk),2022-01-25,"{""atl hip hop"",""dirty south rap"",""gangster rap"",""hip hop"",""pop rap"",rap,""southern hip hop"",trap}"
Lil Baby,Frozen,2022-04-28,"{""atl hip hop"",""atl trap"",rap,trap}"
GloRilla,Nut Quick,2022-11-08,"{rap,""viral rap""}"
Moneybagg Yo,See Wat I’m Sayin,2022-05-27,"{""hip hop"",""memphis hip hop"",rap,""southern hip hop"",""tennessee hip hop"",trap}"
Key Glock,Ambition For Cash,2021-11-05,"{""hip hop"",""memphis hip hop"",rap,""southern hip hop"",""tennessee hip hop"",trap}"
SoFaygo,Stay Awake (feat. Lil Uzi Vert),2022-11-11,"{glitchcore,plugg,rap,trap,""vapor trap""}"
Moneybagg Yo,Switches & Dracs (feat. Lil Durk & EST Gee),2021-10-22,"{""hip hop"",""memphis hip hop"",rap,""southern hip hop"",""tennessee hip hop"",trap}"
Rod Wave,MJ Story,2022-11-18,"{""florida rap""}"
Kodak Black,Super Gremlin,2021-10-30,"{""florida rap""}"
Nas,30,2022-11-11,"{""conscious hip hop"",""east coast hip hop"",""gangster rap"",""hardcore hip hop"",""hip hop"",""queens hip hop"",rap}"
Moneybagg Yo,Rookie of the Year,2021-06-01,"{""hip hop"",""memphis hip hop"",rap,""southern hip hop"",""tennessee hip hop"",trap}"
Kodak Black,Walk,2022-09-16,"{""florida rap"",""hip hop"",""melodic rap"",""miami hip hop"",rap,trap}"
NAV & Gunna,Playa,2022-09-09,"{""canadian hip hop"",""canadian trap"",""hip hop"",""melodic rap"",rap,""toronto rap"",trap}"
Roddy Ricch,King Size,2022-11-18,"{""melodic rap"",rap,trap}"
Gunna & Future,pushin P (feat. Young Thug),2022-01-13,"{""atl hip hop"",""hip hop"",""melodic rap"",rap,trap}"
Money Man,LLC (feat. Moneybagg Yo),2021-11-12,"{""memphis hip hop"",rap,""southern hip hop"",trap}"
Pooh Shiesty,Certified (feat. Gunna),2022-04-29,"{""memphis hip hop"",rap,""southern hip hop"",""tennessee hip hop"",trap}"
42 Dugg & EST Gee,Everybody Shooters Too,2022-04-08,"{""detroit trap"",rap,trap}"
Polo G,Bag Talk,2022-10-28,"{""chicago rap"",rap}"
Lil Baby,Real As It Gets (feat. EST Gee),2021-03-04,"{""atl hip hop"",""atl trap"",rap,trap}"
"Quavo, Takeoff & YoungBoy Never Broke Again",To The Bone,2022-10-07,"{""atl hip hop"",""hip hop"",""melodic rap"",rap,""southern hip hop"",trap}"
Lil Baby & Lil Durk,2040,2021-06-04,"{""atl hip hop"",""atl trap"",rap,trap}"
Money Man,Plenty,2022-04-29,"{""memphis hip hop"",rap,""southern hip hop"",trap}"
Polo G,Distraction,2022-06-03,"{""chicago rap"",rap}"
Lil Durk,Pissed Me Off,2021-10-15,"{""chicago drill"",""chicago rap"",drill,""hip hop"",rap,trap}"
Don Toliver,Do It Right,2022-11-18,"{pop,rap,trap}"
Rich Homie Quan,Risk Takers,2022-10-04,"{""atl hip hop"",""atl trap"",""pop rap"",rap,""southern hip hop"",trap}"
Lil Tjay,Give You What You Want,2022-11-11,"{""brooklyn drill"",""melodic rap"",""nyc rap""}"
Nardo Wick,Dah Dah DahDah,2022-07-22,"{""florida rap"",rap,trap}"
Meek Mill,Sharing Locations (feat. Lil Baby & Lil Durk),2021-08-27,"{""hip hop"",""philly rap"",""pop rap"",rap,""southern hip hop"",trap}"
BIG30,Pressin' (feat. Quavo & Moneybagg Yo),2021-09-02,"{""memphis hip hop"",""southern hip hop"",trap}"
Jeezy & DJ Drama,Put The Minks Down (feat. 42 Dugg),2022-10-21,"{""atl hip hop"",crunk,""dirty south rap"",""gangster rap"",""hip hop"",""old school atlanta hip hop"",""pop rap"",rap,""southern hip hop"",trap}"
Moneybagg Yo & BIG30,GO!,2021-04-23,"{""hip hop"",""memphis hip hop"",rap,""southern hip hop"",""tennessee hip hop"",trap}"
Pharrell Williams & Travis Scott,Down In Atlanta,2022-11-18,"{""hip hop"",pop,""pop rap""}"
Lil Durk,Petty Too (feat. Future) [Apple Music Live],2022-03-11,"{""chicago drill"",""chicago rap"",drill,""hip hop"",rap,trap}"
Offset & Moneybagg Yo,CODE,2022-08-26,"{""atl hip hop"",""hip hop"",""pop rap"",rap,""southern hip hop"",trap,""viral rap""}"
Hotboii & Future,Nobody Special,2021-12-10,"{""florida rap"",trap}"
EST Gee,Backstage Passes (feat. Jack Harlow),2022-09-16,"{""kentucky hip hop"",""pop rap"",rap,""southern hip hop"",trap}"
Quavo & Takeoff,Bars Into Captions,2022-10-07,"{""atl hip hop"",""hip hop"",""melodic rap"",rap,""southern hip hop"",trap}"
Nardo Wick,Burning Up (feat. The Kid LAROI),2022-07-22,"{""florida rap"",rap,trap}"
EST Gee,Shoot It Myself (feat. Future),2022-09-16,"{""kentucky hip hop"",""pop rap"",rap,""southern hip hop"",trap}"
Young Thug,Bubbly (with Drake & Travis Scott),2021-10-15,"{""atl hip hop"",""atl trap"",""gangster rap"",""hip hop"",""melodic rap"",""pop rap"",rap,""southern hip hop"",trap}"
A Boogie wit da Hoodie,Ballin,2022-11-03,"{""melodic rap"",rap,trap}"
Gucci Mane,"Shit Crazy (Remix) [feat. BIG30, Mac Critter & Sett]",2022-11-10,"{""atl hip hop"",""dirty south rap"",""gangster rap"",""hip hop"",""pop rap"",rap,""southern hip hop"",trap}"
Kodak Black,I’m So Awesome,2022-09-30,"{""florida rap"",""hip hop"",""melodic rap"",""miami hip hop"",rap,trap}"
Hotboii,I Really (feat. 42 Dugg & Moneybagg Yo),2021-12-10,"{""florida rap"",trap}"
Megan Thee Stallion,Ungrateful (feat. Key Glock),2022-08-12,"{""dance pop"",""houston rap"",pop,rap,""trap queen""}"
Moneybagg Yo,Shottas (Lala),2021-04-23,"{""hip hop"",""memphis hip hop"",rap,""southern hip hop"",""tennessee hip hop"",trap}"
Trippie Redd & Don Toliver,Ain't Safe,2022-10-28,"{""melodic rap"",rap,trap}"
French Montana & NAV,Fenty,2022-10-21,"{""gangster rap"",""hip hop"",""pop rap"",rap,""southern hip hop"",trap}"
Yung Bleu & Fivio Foreign,One Of Those Nights,2022-11-11,"{""alabama rap"",""pop rap"",r&b,rap,trap}"
G Herbo,"Me, Myself & I (feat. A Boogie wit da Hoodie)",2022-09-09,"{""chicago drill"",""chicago rap"",drill,""hip hop"",rap,""southern hip hop"",trap}"
"Jeezy, DJ Drama & Lil Durk",Most Hated,2022-10-21,"{""atl hip hop"",crunk,""dirty south rap"",""gangster rap"",""hip hop"",""old school atlanta hip hop"",""pop rap"",rap,""southern hip hop"",trap}"
Meek Mill,Hot (feat. Moneybagg Yo),2021-10-01,"{""hip hop"",""philly rap"",""pop rap"",rap,""southern hip hop"",trap}"
DDG,Bulletproof Maybach (feat. Offset),2022-10-07,"{""pop rap"",rap,trap,""viral rap""}"
42 Dugg,IDGAF,2022-08-17,"{""detroit trap"",rap,trap}"
GloRilla & Cardi B,Tomorrow 2,2022-09-29,{}
Freddie Gibbs,Dark Hearted,2022-09-30,"{""alternative hip hop"",""hip hop"",""indiana hip hop"",rap,""southern hip hop"",""underground hip hop""}"
Nicki Minaj,Super Freaky Girl,2022-08-12,"{""dance pop"",""hip pop"",pop,""queens hip hop"",rap}"
Nardo Wick,G Nikes (feat. Polo G),2022-10-14,"{""florida rap"",rap,trap}"
BIG30,Celine Frames,2022-09-30,"{""memphis hip hop"",""southern hip hop"",trap}"
