artist,title,release_date,genres
Tyler James Bellinger,Unlove You,2021-11-12,{}
Josh Golden,you don't love me,2021-10-08,"{""la pop"",""sad rap""}"
Faouzia,Anybody Else,2022-05-19,"{""alt z"",""canadian pop"",pop,""post-teen pop""}"
Lexi Jayde,gentle,2022-05-26,"{""alt z"",""social media pop""}"
Lukas Graham,Happy For You,2021-05-14,"{""danish pop"",pop,scandipop}"
Robinson,Watching You,2020-02-21,"{""alt z"",""nz pop""}"
Clara Mae,Not Sad Anymore,2021-06-18,"{""alt z"",electropop,pop,""post-teen pop"",""social media pop"",""swedish pop""}"
Nova Miller,Cold Feet,2022-01-21,{melodipop}
Sam DeRosa,Pill for This,2019-09-04,{}
Quinn Lewis,Hurt Me Now,2019-07-19,"{""alt z""}"
Anna Clendening,Get Me,2020-07-31,"{""alt z"",pop,""post-teen pop"",""social media pop""}"
Ingrid Andress,Seeing Someone Else,2022-05-13,"{""contemporary country"",country,""country pop""}"
GIVĒON,Heartbreak Anniversary,2020-03-27,"{pop,r&b}"
Tyler James Bellinger,Unbearable,2022-02-04,"{""belgian edm"",""belgian pop""}"
Camila Cabello,Consequences (Orchestra),2018-10-09,"{""dance pop"",pop,""post-teen pop""}"
James Smith,My Oh My,2021-01-29,"{""neo mellow"",pop,""uk pop"",""viral pop""}"
Natalie Taylor,Surrender,2019-10-29,{}
Halsey,You should be sad,2020-01-17,"{""dance pop"",electropop,etherpop,""indie poptimism"",pop}"
Josh Kerr,I Go Back to You,2021-04-09,"{""contemporary country"",""country pop""}"
Ruel,too many feelings,2021-02-11,"{""australian alternative pop"",""dance pop"",pop,""post-teen pop""}"
Lewis Capaldi,Before You Go,2019-11-22,"{pop,""uk pop""}"
Alexander 23 & Jeremy Zucker,Nothing's the Same,2021-02-19,"{""alt z"",pop}"
Clara Mae,Unmiss You,2020-08-28,"{""alt z"",electropop,pop,""post-teen pop"",""social media pop"",""swedish pop""}"
Jeremy Zucker,"always, i'll care",2020-04-17,"{electropop,pop}"
Post Malone,I Like You (A Happier Song) [feat. Doja Cat],2022-05-27,{}
Taylor Swift,Bejeweled,2022-10-21,{pop}
Joji,Die For You,2022-11-04,"{""viral pop""}"
Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),2022-05-06,"{""dance pop"",pop}"
Oliver Tree & Robin Schulz,Miss You,2022-11-25,{}
Stephen Sanchez,Until I Found You,2021-09-01,"{""gen z singer-songwriter"",pop}"
Rema & Selena Gomez,Calm Down,2021-03-12,"{""dance pop"",pop,""post-teen pop""}"
Megan Moroney,Tennessee Orange,2022-09-02,"{""contemporary country""}"
Oliver Tree & sped up nightcore,Miss You (Sped Up Version),2022-10-17,"{""alternative hip hop""}"
Katy Perry,California Gurls (feat. Snoop Dogg),2010-01-01,"{""dance pop"",pop}"
Lady Gaga,Bad Romance,2009-11-05,"{""art pop"",""dance pop"",pop}"
Bruno Mars,Just the Way You Are,2010-10-05,"{""dance pop"",pop}"
Justin Bieber,Baby (feat. Ludacris),2010-06-11,{fake}
Lady A,Need You Now,2010-01-01,"{""contemporary country"",country,""country dawn"",""country pop"",""country road"",pop}"
Taio Cruz,Dynamite,2010-01-01,"{""dance pop"",edm,pop,""pop rap""}"
CeeLo Green,F**k You,2018-12-07,{}
Eminem,Love The Way You Lie (feat. Rihanna),2022-08-05,"{""detroit hip hop"",""hip hop"",rap}"
Train,"Hey, Soul Sister",2010-12-01,"{""dance pop"",""neo mellow"",pop,""pop rock""}"
Usher,Omg (feat. will.i.am),2010-03-30,"{""atl hip hop"",""contemporary r&b"",""dance pop"",pop,r&b,""south carolina hip hop"",""urban contemporary""}"
"Far East Movement, The Cataracs & Dev",Like a G6,2012-01-01,{}
Foster the People,Pumped Up Kicks,2011-05-23,"{indietronica,""modern rock"",rock}"
B.o.B,Airplanes (feat. Hayley Williams of Paramore),2010-04-27,"{""atl hip hop"",""dance pop"",""hip hop"",pop,""pop rap"",rap,""southern hip hop""}"
Kesha,Your Love Is My Drug,2010-01-01,"{""dance pop"",pop,""post-teen pop""}"
Wiz Khalifa,Black and Yellow,2011-03-29,"{""dance pop"",""hip hop"",""pittsburgh rap"",""pop rap"",rap,""southern hip hop"",trap}"
Rihanna,Rude Boy,2009-11-20,"{""barbadian pop"",""dance pop"",pop,""urban contemporary""}"
Eminem,Not Afraid,2010-06-18,"{""detroit hip hop"",""hip hop"",rap}"
Enrique Iglesias,I Like It (feat. Pitbull) [feat. Pitbull],2010-11-02,{}
Jason Derulo,In My Head,2010-02-24,"{""dance pop"",edm,pop,""pop rap"",""post-teen pop""}"
Katy Perry,Teenage Dream,2010-01-01,"{""dance pop"",pop}"
JAY-Z,Empire State Of Mind (feat. Alicia Keys),2009-12-01,{}
B.o.B,Nothin' On You (feat. Bruno Mars),2010-04-27,"{""atl hip hop"",""dance pop"",""hip hop"",pop,""pop rap"",rap,""southern hip hop""}"
Lady Gaga,Telephone (feat. Beyoncé),2010-01-26,"{""art pop"",""dance pop"",pop}"
The Band Perry,If I Die Young,2010-01-01,"{""contemporary country"",country,""country dawn"",""country road"",""modern country rock""}"
Jay Sean,Down (feat. Lil Wayne),2010-06-01,{}
Christina Perri,Jar of Hearts,2011-05-10,"{""dance pop"",""neo mellow"",pop,""pop rock"",""post-teen pop""}"
Rihanna,Only Girl (In the World),2010-01-01,"{""barbadian pop"",""dance pop"",pop,""urban contemporary""}"
Travie McCoy,Billionaire (feat. Bruno Mars),2010-06-07,"{""pop rap""}"
Neon Trees,Animal,2010-01-01,"{""modern alternative rock"",""modern rock"",""pop rock"",rock}"
Flo Rida,Club Can't Handle Me (feat. David Guetta),2010-06-28,"{""dance pop"",edm,""miami hip hop"",pop,""pop rap""}"
Bruno Mars,Grenade,2010-10-05,"{""dance pop"",pop}"
Black Eyed Peas,Imma Be,2009-01-01,"{""dance pop"",pop,""pop rap""}"
Mike Posner,Cooler Than Me (Single Mix),2010-08-09,"{""dance pop"",edm,pop,""pop rap""}"
Taio Cruz,Break Your Heart (feat. Ludacris),2010-06-08,{}
Usher,DJ Got Us Fallin' In Love (feat. Pitbull),2010-03-30,"{""atl hip hop"",""contemporary r&b"",""dance pop"",pop,r&b,""south carolina hip hop"",""urban contemporary""}"
Michael Bublé,Haven't Met You Yet,2009-10-06,"{""adult standards"",""canadian pop"",""jazz pop"",lounge}"
Jeremih,Down On Me (feat. 50 Cent),2010-12-21,{}
Drake,Find Your Love,2010-01-01,"{""canadian hip hop"",""canadian pop"",""hip hop"",rap,""toronto rap""}"
Jason Derulo,Ridin' Solo,2010-02-24,"{""dance pop"",edm,pop,""pop rap"",""post-teen pop""}"
Trey Songz,Say Aah (feat. Fabolous),2009-08-31,"{""dance pop"",pop,r&b,""southern hip hop"",trap,""urban contemporary""}"
Lady Gaga,Alejandro,2009-08-05,"{""art pop"",""dance pop"",pop}"
Timbaland,Carry Out (feat. Justin Timberlake),2009-01-01,"{""dance pop"",""hip hop"",pop,""pop rap"",""urban contemporary""}"
Jason Derulo,Whatcha Say,2010-02-24,"{""dance pop"",edm,pop,""pop rap"",""post-teen pop""}"
Taylor Swift,Mine,2010-10-25,{pop}
Young Money,BedRock (feat. Lloyd),2009-01-01,"{""dance pop"",""dirty south rap"",""gangster rap"",""hip hop"",""pop rap"",r&b,rap,""southern hip hop"",trap}"
Adam Lambert,Whataya Want from Me,2009-11-23,"{""dance pop"",idol,pop,""post-teen pop""}"
Rihanna,Hard (feat. Jeezy),2010-06-01,"{""bossa nova cover""}"
Maroon 5,Misery,2010,{pop}
Orianthi,According to You,2009-01-01,"{""candy pop""}"
3OH!3,My First Kiss (feat. Ke$ha),2010-06-25,"{""dance pop"",electropowerpop,""modern rock"",pop,""pop punk"",""pop rap"",""post-teen pop""}"
Calvin Harris,Summer,2014-10-31,"{""dance pop"",edm,""electro house"",house,pop,""progressive house"",""uk dance""}"
The Weeknd,Can't Feel My Face,2015-08-28,"{""canadian contemporary r&b"",""canadian pop"",pop}"
Sia,Cheap Thrills (feat. Sean Paul),2016-10-21,"{""australian dance"",""australian pop"",""dance pop"",pop}"
Nico & Vinz,Am I Wrong,2014,"{""pop rap""}"
Maroon 5,Moves Like Jagger (feat. Christina Aguilera),2011-10-03,"{""antiviral pop"",parody}"
Post Malone,Better Now,2018-04-27,"{""dfw rap"",""melodic rap"",rap}"
Drake,One Dance (feat. Wizkid & Kyla),2016-07-15,{}
Major Lazer,Lean On (feat. MØ & DJ Snake),2015-07-10,"{""dance pop"",edm,""electro house"",moombahton,pop,""pop dance"",""pop rap"",""tropical house""}"
Miley Cyrus,We Can't Stop,2013-10-04,"{""dance pop"",pop,""post-teen pop""}"
MAGIC!,Rude,2014-06-25,"{""reggae fusion""}"
Usher,DJ Got Us Fallin' in Love (feat. Pitbull),2010-03-30,"{""atl hip hop"",""contemporary r&b"",""dance pop"",pop,r&b,""south carolina hip hop"",""urban contemporary""}"
Disclosure,Latch (feat. Sam Smith),2015-09-04,{}
Fifth Harmony,Work from Home (feat. Ty Dolla $ign),2016-05-27,"{""dance pop"",""girl group"",pop,""post-teen pop"",""talent show""}"
Avicii,Wake Me Up,2013-01-01,"{""dance pop"",edm,pop,""pop dance"",""pop rap""}"
OneRepublic,Good Life,2009-01-01,"{""piano rock"",pop}"
Khalid,Young Dumb & Broke,2017-04-27,"{pop,""pop r&b""}"
Bruno Mars,24K Magic,2016-11-17,"{""dance pop"",pop}"
Lorde,Royals,2013-09-27,"{""art pop"",metropopolis,""nz pop"",pop}"
Pitbull,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",2011-06-17,"{""dance pop"",""miami hip hop"",pop,""pop rap""}"
Clean Bandit,Rather Be (feat. Jess Glynne),2014-01-17,"{""dance pop"",edm,pop,""pop dance"",""post-teen pop"",""tropical house"",""uk dance"",""uk funky""}"
Portugal. The Man,Feel It Still,2017-06-16,"{""modern rock"",rock}"
Drake,The Motto (Bonus Track) [feat. Lil Wayne],2011-11-15,"{""canadian hip hop"",""canadian pop"",""hip hop"",rap,""toronto rap""}"
Kesha,TiK ToK,2010-01-01,"{""dance pop"",pop,""post-teen pop""}"
Lizzo,Truth Hurts,2019-04-19,"{""escape room"",""minnesota hip hop"",pop,""trap queen""}"
Icona Pop,I Love It (feat. Charli XCX),2013-08-27,"{""candy pop"",""dance pop"",edm,electropop,metropopolis,pop,""swedish electropop"",""swedish synthpop""}"
Fun.,We Are Young (feat. Janelle Monáe),2012-02-21,"{""baroque pop"",metropopolis,""modern rock"",""pop rock""}"
Rihanna,We Found Love (feat. Calvin Harris),2011-09-22,{}
Demi Lovato,Cool for the Summer,2015-01-01,"{""dance pop"",pop,""post-teen pop""}"
Jason Derulo,Want to Want Me,2015-05-29,"{""dance pop"",edm,pop,""pop rap"",""post-teen pop""}"
Nicki Minaj,Starships,2011-01-01,"{""dance pop"",""hip pop"",pop,""queens hip hop"",rap}"
Ariana Grande,Problem (feat. Iggy Azalea),2019-02-01,{}
Bastille,Pompeii,2013-01-01,"{metropopolis,""modern rock"",pop,""pop rock""}"
Shawn Mendes,Treat You Better,2017-04-20,"{""canadian pop"",""dance pop"",pop,""viral pop""}"
Calvin Harris & Rihanna,This Is What You Came For,2016-10-12,{}
Ed Sheeran,Shape of You,2017-03-03,"{pop,""uk pop""}"
WALK THE MOON,Shut Up and Dance,2014-12-02,"{""dance rock"",""indie poptimism"",""modern alternative rock"",""modern rock"",""pop rock"",rock}"
Nicki Minaj,Super Bass,2010-11-22,"{""dance pop"",""hip pop"",pop,""queens hip hop"",rap}"
twenty one pilots,Stressed Out,2015-05-15,"{""modern rock"",rock}"
Ellie Goulding,Lights (Single Version),2010,"{""dance pop"",edm,electropop,indietronica,metropopolis,pop,""post-teen pop"",""uk pop""}"
Iggy Azalea,Fancy (feat. Charli XCX),2014-03-10,{karaoke}
Justin Bieber,What Do You Mean?,2015-11-13,"{""canadian pop"",pop}"
The Chainsmokers & Coldplay,Something Just Like This,2017-02-22,"{""dance pop"",edm,electropop,pop,""pop dance"",""tropical house""}"
Gotye,Somebody That I Used to Know (feat. Kimbra) [feat. Kimbra],2012-01-01,"{""australian pop""}"
Panic! At the Disco,High Hopes,2018-06-22,"{""modern rock""}"
Luis Fonsi & Daddy Yankee,Despacito (feat. Justin Bieber) [Remix],2017-04-17,"{""latin pop"",""puerto rican pop""}"
Tove Lo,Habits (Stay High),2014-01-01,"{""dance pop"",electropop,metropopolis,pop,""swedish electropop"",""swedish pop"",""swedish synthpop""}"
The Weeknd,Starboy (feat. Daft Punk),2017-01-27,{}
Camila Cabello,Havana (feat. Young Thug),2018-01-12,"{""dance pop"",pop,""post-teen pop""}"
Carly Rae Jepsen,Call Me Maybe,2012-01-01,"{""canadian pop"",""dance pop"",pop,""post-teen pop""}"
Mark Ronson,Uptown Funk (feat. Bruno Mars),2015-01-12,"{""dance pop"",pop}"
Charli XCX,Boom Clap,2014-12-15,"{""art pop"",""candy pop"",""dance pop"",electropop,metropopolis,pop,""post-teen pop"",""uk pop""}"
Omi,Cheerleader (Felix Jaehn Remix) [Radio Edit],2015-10-16,"{""dance pop""}"
Dua Lipa,New Rules,2017-06-02,"{""dance pop"",pop,""uk pop""}"
Jonas Brothers,Sucker,2019-06-07,"{""boy band"",""dance pop"",pop,""post-teen pop""}"
Flo Rida,GDFR (feat. Sage the Gemini & Lookas),2015-04-07,"{""dance pop"",edm,""miami hip hop"",pop,""pop rap""}"
Ariana Grande,"thank u, next",2019-02-08,"{""dance pop"",pop}"
"Cardi B, Bad Bunny & J Balvin",I Like It,2022-05-06,{}
Taylor Swift,We Are Never Ever Getting Back Together,2021-11-12,{pop}
Khalid,Talk,2019-04-05,"{pop,""pop r&b""}"
Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),2012-10-09,"{""pop rap"",""seattle hip hop""}"
Ariana Grande,Into You,2016-05-20,"{""dance pop"",pop}"
DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),2017-06-22,"{""hip hop"",""miami hip hop"",""pop rap"",rap,""southern hip hop"",trap}"
Billie Eilish,bad guy,2019-03-29,"{""art pop"",electropop,pop}"
"Zedd, Maren Morris & Grey",The Middle,2018-01-23,"{complextro,""dance pop"",edm,""electro house"",""german techno"",pop,""pop dance"",""pop rap"",""post-teen pop"",""tropical house""}"
Justin Timberlake,CAN'T STOP THE FEELING!,2016-09-23,"{""deep classic garage rock"",""kleine hoerspiel""}"
Kelly Clarkson,Stronger (What Doesn't Kill You),2011-10-24,"{""dance pop"",pop,""post-teen pop"",""talent show""}"
Jason Derulo,Talk Dirty (feat. 2 Chainz),2013-09-10,"{""dance pop"",edm,pop,""pop rap"",""post-teen pop""}"
American Authors,Best Day of My Life (Acoustic),2021-03-12,{}
"Jack Ü, Skrillex & Diplo",Where Are Ü Now (with Justin Bieber) [feat. Justin Bieber],2015-02-24,"{""dance pop"",edm,""electro house"",""pop dance""}"
Lana Del Rey & Cedric Gervais,Summertime Sadness (Lana Del Rey vs. Cedric Gervais) [Cedric Gervais Remix],2021-07-06,{}
Drake,In My Feelings,2018-06-29,"{""canadian hip hop"",""canadian pop"",""hip hop"",rap,""toronto rap""}"
Maroon 5,Girls Like You (feat. Cardi B),2018-06-15,{pop}
LMFAO,Party Rock Anthem (feat. Lauren Bennett & GoonRock),2011-05-05,{fake}
"DJ Snake, Selena Gomez & Ozuna",Taki Taki (feat. Cardi B),2019-07-25,"{""dance pop"",edm,""electronic trap"",pop,""pop dance"",""pop rap""}"
X Ambassadors,Renegades,2015-06-30,"{""modern alternative rock"",""modern rock"",pop,""pop rap"",""pop rock"",rock,""stomp pop""}"
Pitbull,Fireball (feat. John Ryan),2014-11-21,"{""dance pop"",""miami hip hop"",pop,""pop rap""}"
J Balvin & Willy William,Mi Gente (feat. Beyoncé),2017-11-17,{}
David Guetta,Titanium (feat. Sia),2011-08-24,"{""big room"",""dance pop"",edm,pop,""pop dance""}"
Imagine Dragons,Thunder,2017-06-23,"{""modern rock"",rock}"
Britney Spears,Till the World Ends,2011-03-28,"{""dance pop"",pop}"
Lady Gaga,Born This Way,2011-01-01,"{""art pop"",""dance pop"",pop}"
Katy Perry,Roar,2013-01-01,"{""dance pop"",pop}"
Pharrell Williams,"Happy (From ""Despicable Me 2"")",2014-03-03,"{""hip hop"",pop,""pop rap""}"
Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers),2013-06-26,"{electro,""filter house""}"
Lil Nas X,Old Town Road (feat. Billy Ray Cyrus) [Remix],2019-08-02,{}
Troye Sivan,YOUTH,2015-12-04,"{""australian pop"",""dance pop"",pop,""viral pop""}"
Drake,"Hold On, We're Going Home (feat. Majid Jordan)",2013-10-02,{}
Beyoncé,Love On Top,2011-06-24,"{""dance pop"",pop,r&b}"
Florida Georgia Line,Cruise,2012-01-01,"{""contemporary country"",country,""country pop"",""country road"",""modern country rock""}"
Taylor Swift,Shake It Off,2014-10-27,{pop}
DJ Snake & Lil Jon,Turn Down for What,2014-05-19,"{""dance pop"",edm,""electronic trap"",pop,""pop dance"",""pop rap""}"
PSY,Gangnam Style,2012-01-01,"{k-pop,k-rap,""korean old school hip hop""}"
One Direction,Save You Tonight,2012-05-25,"{""boy band"",pop,""post-teen pop"",""talent show""}"
Kenny Chesney,You and Tequila (feat. Grace Potter),2010-09-28,"{""contemporary country"",country,""country road""}"
